Date,Address,Location,Area,ExtraArea,TotalArea,Rooms,LandArea,Price
2021-03-23,Ekvägen 2,"Ytterby, Kungälvs kommun",177,60,237,7,769,7700000
2021-03-22,Råckeröd 140,"Kärna, Kungälvs kommun",66,20,86,3,2269,3800000
2021-03-18,Hallbjörtorp 492,"Kärna, Kungälvs kommun",104,8,112,3,1499,3900000
2021-03-18,Dösebacka 130,"Diseröd, Kungälvs kommun",123,41,164,6,4859,5350000
2021-03-17,Åsgatan 17A,"Centrum, Kungälvs kommun",84,44,128,4,903,5620000
2021-03-17,Tvetgatan 263,"Tveten, Kungälvs kommun",100,50,150,6,138,3850000
2021-03-16,Tjuvkil 450,"Tjuvkil, Kungälvs kommun",237,118,355,8,1434,3120000
2021-03-16,Rondan 19,"Rörtången / Ödsmålsmosse, Kungälvs kommun",60,60,120,4,1927,4400000
2021-03-16,Åsebyberg 960,"Kode, Kungälvs kommun",157,16,173,5,1038,3850000
2021-03-16,Ulvegärdegatan 15,"Ulvegärde, Kungälvs kommun",140,96,236,7,1438,6100000
2021-03-12,Flateby 480,"Harestad, Kungälvs kommun",59,16,75,3,1194,1600000
2021-03-10,Älvängen 130,"Harestad, Kungälvs kommun",317,71,388,10,1180,5250000
2021-03-03,Tegskiftegatan 46,"Ytterby, Kungälvs kommun",184,54,238,8,865,6850000
2021-02-27,Granliden 11,"Vedhall, Kungälvs kommun",253,23,276,5,578,9200000
2021-02-22,Annas väg 4,"Kärna, Kungälvs kommun",102,7,109,4,1158,3700000
2021-02-18,Madängsgatan 13,"Centrum, Kungälvs kommun",154,18,172,7,740,5750000
2021-02-15,Bokvägen 12,"Fontin, Kungälvs kommun",175,35,210,6,635,7400000
2022-01-25,Långåkersgatan 6,"Centralt, Kungälvs kommun",140,36,176,5,733,7000000
2022-01-21,Skvaltvägen 3,"Diseröd, Kungälvs kommun",180,145,325,8,1352,5975000
2022-01-19,Trätäljagatan 7,"Iskällan, Kungälvs kommun",142,142,284,7,1037,7550000
2022-01-18,Hemvägen 21,"Diseröd, Kungälvs kommun",108,32,140,4,384,4050000
2022-01-11,Ödsmål 540,"Rörtången, Kungälvs kommun",65,31,96,4,916,3850000
2022-01-07,Mariebergsliden 5,"Öster, Kungälvs kommun",277,91,368,7,589,10000000
2021-12-30,Älvängen 180,"Harestad, Kungälvs kommun",75,58,133,4,1631,4150000
2021-12-08,Stora Ryr 310,"Tjuvkil/ Lycke, Kungälvs kommun",106,55,161,5,1239,3695000
2021-12-07,Mårdgatan 11,"Klöverbacken - Olseröd, Kungälvs kommun",166,12,178,5,367,6310000
2021-12-06,Ulvebackegatan 3,"Ulvegärde, Kungälvs kommun",129,44,173,4,927,4600000
2021-12-03,Plogvägen 187,"Ullstorp, Kungälvs kommun",122,6,128,5,406,5600000
2021-12-03,Galärgatan 1,"Centralt vid älven, Kungälvs kommun",104,4,108,4,762,3900000
2021-12-01,Korpedalsvägen 13,"Aröd/Timmervik, Kungälvs kommun",47,40,87,2,1179,2850000
2021-11-28,Fontinvägen 13,"Bohuslän, Kungälvs kommun",120,110,230,4,1167,6960500
2021-11-26,Kyrkeby 300,"Harestad, Kungälvs kommun",114,117,231,6,1402,4170000
2021-11-25,Parkgatan 21,"Marstrand - Koön, Kungälvs kommun",113,76,189,7,592,6100000
2021-11-25,Bäckgatan 38,"Centrum, Kungälvs kommun",108,60,168,7,607,6670000
2021-11-17,Nygatan 36,"Marstrand, Kungälvs kommun",118,30,148,4,146,5900000
2021-11-17,Hammarberg 840,"Kode, Kungälvs kommun",82,14,96,3,1893,3420000
2021-11-15,Vallgatan 3,"Kungälv - Centralt, Kungälvs kommun",65,61,126,5,495,5800000
2021-11-03,Grindklykan 7,"Grinden, Kungälvs kommun",114,7,121,4,392,5095000
2021-10-30,Granliden 9,"Vedhall, Kungälvs kommun",181,25,206,5,678,9550000
2021-10-28,Östra gatan 43,"Bohuslän, Kungälvs kommun",134,31,165,5,1403,5600000
2021-10-27,Hamngatan 1,"Centralt vid älven, Kungälvs kommun",136,83,219,6,617,6010000
2022-04-24,Granvägen 7,"Ytterby, Kungälvs kommun",100,54,154,4,623,5300000
2022-04-14,Marieberg 210,"Kungälv, Kungälvs kommun",120,34,154,5,3245,3150000
2022-04-14,Dotorp 260,"Kungälv - Kärna, Kungälvs kommun",162,9,171,6,2003,4775000
2022-04-13,Högalidsgatan 12,"Centralt vid älven, Kungälvs kommun",139,72,211,7,816,6450000
2022-04-13,Kodevägen 15,"Kode, Kungälvs kommun",147,123,270,6,1301,4525000
2022-04-04,Kärnavägen 7,"Kärna, Kungälvs kommun",97,133,230,7,786,3995000
2022-04-03,Åsebyberg 735,"Kode, Kungälvs kommun",158,21,179,5,1362,6200000
2022-03-30,Lagvägen 4,"Ytterby, Kungälvs kommun",129,20,149,5,816,5630000
2022-03-25,Åsebyberg 755,"Kode, Kungälvs kommun",75,40,115,3,961,3900000
2022-03-25,Västra Strandgatan 3,"Centralt vid älven, Kungälvs kommun",111,61,172,5,650,6000000
2022-03-17,Matskärsvägen 6,"Tjuvkil, Kungälvs kommun",155,19,174,7,521,6300000
2022-03-15,Hallsbergsvägen 12,"Kode, Kungälvs kommun",150,15,165,6,1639,5800000
2022-03-11,Rönnvägen 22,"Romelanda, Kungälvs kommun",108,70,178,6,823,5000000
2022-03-10,Galärgatan 8,"Centrum, Kungälvs kommun",119,62,181,5,655,4700000
2022-03-10,Bergkristallvägen 3,"Kode, Kungälvs kommun",125,9,134,5,527,5460000
2022-03-09,Dammen 135,"Kode, Kungälvs kommun",90,20,110,4,4698,3200000
2022-03-09,Rondan 19,"Ödsmålsmosse, Kungälvs kommun",60,60,120,4,1927,5400000
2022-03-09,Tvetgatan 289,"Bohuslän, Kungälvs kommun",130,9,139,5,127,4440000
2022-03-03,Östergårdsgatan 20,"Ytterby, Kungälvs kommun",133,65,198,6,1154,5720000
2022-03-03,Ivar Claessons gata 10,"Kungälv - Centralt, Kungälvs kommun",105,53,158,5,967,5300000
2022-02-24,Häljeröd 170,"Romelanda, Kungälvs kommun",102,48,150,4,13432,5750000
2022-02-21,Hallsbergsvägen 7,"Kode, Kungälvs kommun",172,85,257,7,3363,5450000
2022-02-19,Grandalen 200,"Romelanda, Kungälvs kommun",115,21,136,4,1937,4290000
2022-02-18,Fontinvägen 23,"Centralt, Kungälvs kommun",168,75,243,6,1402,5900000
2022-02-17,Lefstadvägen 35,"Kärna, Kungälvs kommun",127,61,188,5,1255,5700000
2022-02-09,Signehög 360,"Bohuslän, Kungälvs kommun",78,68,146,4,2771,3825000
2022-02-03,Sundhammarsvägen 480,"Kovikshamn/Sundhammar, Kungälvs kommun",167,13,180,5,2290,6475000
2022-01-28,Gamla Kungälvsvägen 9,"Ytterby, Kungälvs kommun",65,88,153,4,1000,5555000
2021-06-08,Flateby 360,"Kungälv - Harestad, Kungälvs kommun",125,95,220,7,1726,3100000
2021-06-04,Lievägen 237,"Ullstorp, Kungälvs kommun",140,19,159,5,507,6200000
2021-06-03,Skårby station 550,"Kungälv - Kareby, Kungälvs kommun",96,90,186,6,1087,3450000
2021-06-02,Skårshöjd 8,"Kärna, Kungälvs kommun",140,40,180,5,921,4425000
2021-06-02,Ametistvägen 5,"Kode, Kungälvs kommun",98,95,193,5,780,4900000
2021-05-28,Signehög 150,"Romelanda, Kungälvs kommun",130,130,260,6,2151,2200000
2021-05-25,Hamngatan 13,"Centralt vid älven, Kungälvs kommun",64,60,124,4,645,4900000
2021-05-25,Guddeby 274,"Ytterby, Kungälvs kommun",159,55,214,7,1527,6500000
2021-05-19,Parkgatan 18,"Marstrand - Koön, Kungälvs kommun",160,30,190,6,562,9400000
2021-05-19,Lyckevägen 5B,"Kärna, Kungälvs kommun",95,61,156,3,673,4400000
2021-05-18,Stora Risby 480,"Hålta, Kungälvs kommun",108,26,134,5,941,4950000
2021-05-18,Grepvägen 385,"Ullstorp, Kungälvs kommun",121,29,150,5,388,5640000
2021-05-17,Fridhemsgatan 9,"Centralt, Kungälvs kommun",137,90,227,6,850,6525000
2021-05-17,Lökebergsvägen 43,"Lökeberg, Kungälvs kommun",120,54,174,4,3364,4825000
2021-05-16,Häljeröd 210,"Romelanda, Kungälvs kommun",160,35,195,4,1690,3550000
2021-05-14,Vegestorp 210,"Kareby, Kungälvs kommun",98,98,196,5,1610,4125000
2021-05-12,Olvonvägen 27,"Diseröd, Kungälvs kommun",123,97,220,6,682,5150000
2021-05-11,Storskiftegatan 55,"Ytterby, Kungälvs kommun",131,46,177,5,835,6550000
2021-05-10,Glose 630,"Kärna, Kungälvs kommun",96,17,113,3,1187,4150000
2021-05-10,Lerlycke 240,"Kärna, Kungälvs kommun",135,44,179,3,9078,6000000
2021-05-08,Bergkristallvägen 5,"Kode, Kungälvs kommun",126,9,135,5,477,5000000
2021-05-07,Hällristningsgatan 18,"Ytterby - Stället, Kungälvs kommun",103,9,112,4,281,4650000
2021-05-05,Hareslättsvägen 8,"Marstrand, Kungälvs kommun",188,30,218,6,676,8800000
2021-05-05,Prejelvägen 109,"Ullstorp, Kungälvs kommun",122,12,134,5,432,5640000
2021-04-29,Holm 220,"Bohuslän, Kungälvs kommun",175,93,268,7,479907,10000000
2021-04-29,Mycklaborgsgatan 3,"Centrum, Kungälvs kommun",149,20,169,5,684,5100000
2021-04-29,Östra gatan 34,"Bohuslän, Kungälvs kommun",208,49,257,8,2419,6000000
2021-04-26,Ulvebackegatan 20,"Ulvegärde, Kungälvs kommun",196,30,226,6,766,6500000
2021-04-25,Gårdskiftegatan 67,"Ytterby, Kungälvs kommun",103,34,137,4,780,5000000
2017-02-21,Mycklaborgsgatan 5,"Kungälv - Centralt, Kungälvs kommun",140,20,160,5,664,3900000
2017-02-18,Högsberg 320,"Kode, Kungälvs kommun",80,32,112,2,1114,2650000
2017-02-16,Hövdingagatan 1,"Centrum, Kungälvs kommun",163,160,323,6,1030,5400000
2017-02-16,Häljeröd 260,"Häljeröd, Kungälvs kommun",137,99,236,5,909,2600000
2017-02-15,Kuskalundsvägen 33,"Vävra, Kungälvs kommun",83,13,96,4,1519,3250000
2017-02-13,Toreby Mosse 600,"Kungälv - Harestad, Kungälvs kommun",104,16,120,4,1622,3750000
2017-02-08,Poppelvägen 4,"Kungälv - Romelanda, Kungälvs kommun",155,34,189,6,800,4000000
2017-02-07,Skårby Station 500,"Kungälv - Kareby, Kungälvs kommun",200,88,288,8,19677,6200000
2017-02-07,Staby 200,"KÄRNA, Kungälvs kommun",132,72,204,5,1032,2562000
2017-02-03,Guddeby 272,"Ytterby, Kungälvs kommun",168,37,205,5,1552,4700000
2017-01-26,Skårby Station 560,"Kareby, Kungälvs kommun",115,118,233,7,1269,3500000
2017-01-21,Hövdingagatan 5,"Kungälv - Centralt, Kungälvs kommun",170,34,204,6,641,4740000
2017-01-12,Hallsbergsvägen 6,"Kode, Kungälvs kommun",139,10,149,5,3353,3550000
2017-01-04,Hallbjörtorp 290,"Kärna, Kungälvs kommun",75,75,150,5,1312,3300000
2016-12-16,Skvaltvägen 3,"Romelanda Diseröd, Kungälvs kommun",180,145,325,8,1352,3700000
2016-12-09,Västerhöjdsvägen 8,"Kärna, Kungälvs kommun",81,43,124,6,473,3200000
2016-12-02,Östergårdsgatan 12,"Kungälv - Ytterby, Kungälvs kommun",180,55,235,5,1137,5460000
2016-11-29,Åseby 400,"Kungälv - Rörtången, Kungälvs kommun",154,5,159,5,2523,4550000
2016-11-22,Västra Gatan 35a,"Kungälv - Centrum, Kungälvs kommun",214,44,258,8,344,6450000
2016-11-17,Diserödsvägen 15,"Romelanda Diseröd, Kungälvs kommun",114,105,219,7,719,3825000
2016-11-12,Gunneröd 460,"LYCKE, Kungälvs kommun",87,45,132,3,1067,2725000
2016-11-04,Rökgatan 9,"Centrum, Kungälvs kommun",71,59,130,5,737,2950000
2016-11-01,Väderhattsgatan 3,"Iskällan, Kungälvs kommun",180,81,261,8,1069,6030000
2016-10-27,Skårpedal 160,"Lycke, Kungälvs kommun",122,70,192,5,1643,3530000
2016-10-26,Vävra 495,"Vävra - Tjuvkil - Kungälv, Kungälvs kommun",34,55,89,2,3273,950000
2016-10-20,Oxelvägen 40,"Romelanda, Kungälvs kommun",109,45,154,5,300,3460000
2016-10-18,Ulvebackegatan 6,"Bohuslän, Kungälvs kommun",135,28,163,5,1135,4400000
2016-10-17,Häljeröd 190,"Romelanda, Kungälvs kommun",84,79,163,5,4000,3400000
2016-10-13,Västerängen 17,"Ytterby, Kungälvs kommun",143,37,180,6,825,4550000
2016-10-12,Solhultsgatan 20,"Centrum, Kungälvs kommun",112,46,158,4,558,3830000
2018-04-05,Gategården 182,"Hålta, Kungälvs kommun",240,50,290,8,1484,4020000
2018-03-29,Hallebäcksvägen 2,"Timmervik, Kungälvs kommun",73,7,80,3,1029,2550000
2018-03-27,Snäckvägen 11,"Ödsmåls mosse/Rörtången, Kungälvs kommun",45,25,70,2,1593,2000000
2018-03-20,Rishammarvägen 32,"Kareby, Kungälvs kommun",122,61,183,5,794,4750000
2018-03-16,Svärdgatan 8,"Ytterby, Kungälvs kommun",137,8,145,5,428,5250000
2018-03-10,Dotorp 400,"Kärna, Kungälvs kommun",114,54,168,5,5650,4200000
2018-03-09,Skomakarevägen 17,"Hålta, Kungälvs kommun",178,24,202,6,2018,3730000
2018-03-07,Åldermansvägen 4,"Ytterby, Kungälvs kommun",130,125,255,7,695,4700000
2018-02-27,Jorsalagatan 1,"Iskällan, Kungälvs kommun",119,97,216,7,891,4300000
2018-02-26,Prästvägen 830,"Diseröd, Kungälvs kommun",259,48,307,10,3049,6250000
2018-02-23,Länsmansvägen 24,"Ytterby, Kungälvs kommun",126,85,211,4,915,4600000
2018-02-21,Rättarevägen 11,"Ytterby, Kungälvs kommun",105,122,227,6,477,4780000
2018-02-21,Västerhöjdsvägen 44,"Bohuslän, Kungälvs kommun",104,15,119,6,285,4250000
2018-02-08,Arntorp 190,"Kareby, Kungälvs kommun",85,92,177,4,1048,2735000
2018-02-03,Solskiftegatan 38,"Ytterby, Kungälvs kommun",110,50,160,5,797,4560000
2018-02-03,Torsbyvägen 22,"Ytterby, Kungälvs kommun",170,53,223,7,1650,4800000
2018-01-14,Kolonigatan 6,"Marstrand, Kungälvs kommun",135,75,210,5,863,8300000
2018-01-12,Signehög 210,"Romelanda, Kungälvs kommun",142,28,170,6,945,3350000
2018-01-03,Nordängen 2,"Sundhammar, Kungälvs kommun",165,7,172,6,1936,6500000
2018-01-02,Kristiansborg 350,"Tjuvkil, Kungälvs kommun",121,65,186,5,1099,5500000
2017-12-20,Ulvesund 530,"Ytterby - Ulvesund, Kungälvs kommun",75,20,95,4,3233,3045000
2017-12-13,Prejelvägen 117,"Ullstorp, Kungälvs kommun",122,8,130,5,596,4740000
2017-12-13,Krappvägen 571,"KUNGÄLV, Kungälvs kommun",148,10,158,5,382,6000000
2017-12-02,Lefstad 230,"Kärna, Kungälvs kommun",93,93,186,7,1603,3580000
2017-11-29,Prejelvägen 137,"Bohuslän, Kungälvs kommun",122,10,132,5,423,4850000
2017-11-27,Plogvägen 191,"Ullstorp, Kungälvs kommun",122,26,148,5,402,4800000
2017-11-24,Västra gatan 40,"Centralt, Kungälvs kommun",133,50,183,6,1096,6350000
2013-05-24,Gårdskiftegatan 41,"Ytterby-Tega, Kungälvs kommun",174,14,188,6,735,3075000
2013-05-24,Kuskalundsvägen 36,"Vävra, Kungälvs kommun",120,45,165,6,1339,1850000
2013-05-16,Grokareby 150,"Kareby, Kungälvs kommun",123,45,168,4,2081,2620000
2013-04-30,Staby 490,"Kärna, Kungälvs kommun",92,60,152,4,2230,2500000
2013-04-30,Skeppsholmsgatan 3,"Centralt, Kungälvs kommun",95,3,98,4,780,3200000
2013-04-30,Flateby 500,"Kärna - Harestad, Kungälvs kommun",110,68,178,6,4215,2610000
2013-04-21,Stenåldersgatan 4,"Ytterby - Stället, Kungälvs kommun",107,5,112,5,459,2775000
2013-04-18,Ulvesund 419,"Ytterby, Kungälvs kommun",65,15,80,3,688,2150000
2013-04-17,Östra Trädal 360,"Ytterby - Östra Trädal, Kungälvs kommun",160,80,240,7,11627,3400000
2013-04-10,Ringby 164,"Kareby, Kungälvs kommun",128,32,160,4,1300,3250000
